case_id,domain,gold_label,decision,is_correct,sigma_phi,is_uncertain,claim_text,n_raw_arguments,n_kept_arguments,n_neutral_arguments,n_relations,n_phi_edges,n_strengths,mean_tau,parse_error
test_0022,hearsay,No,No,True,0.385,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.8166666666666668,
test_0023,hearsay,No,Yes,False,0.6210625000000001,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.85,
test_0024,hearsay,No,UNCERTAIN,True,0.48881250000000004,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.8999999999999999,
test_0025,hearsay,No,UNCERTAIN,True,0.49124999999999996,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,4,4,4,0.8375,
test_0026,hearsay,No,UNCERTAIN,True,0.4925,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,4,4,4,0.775,
test_0027,hearsay,No,No,True,0.04249999999999993,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,4,3,3,0.8166666666666668,
test_0028,hearsay,No,UNCERTAIN,True,0.505,True,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.85,
test_0029,hearsay,No,UNCERTAIN,True,0.5349999999999999,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,3,1,3,3,3,0.85,
test_0030,hearsay,No,No,True,0.25003,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,6,4,4,0.7625,
test_0031,hearsay,No,UNCERTAIN,True,0.5,True,Is the statement described in this narrative hearsay under FRE 801(c)?,0,0,0,0,0,0,0.0,Request timed out.
test_0032,hearsay,No,UNCERTAIN,True,0.5,True,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.8333333333333334,
test_0033,hearsay,Yes,Yes,True,0.999999925,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,7,4,4,0.8875,
test_0034,hearsay,Yes,Yes,True,0.99975,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.9166666666666666,
test_0035,hearsay,Yes,Yes,True,0.9999374999999999,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,4,4,4,0.875,
test_0036,hearsay,Yes,Yes,True,0.6997500000000001,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,4,4,4,0.8375,
test_0037,hearsay,Yes,Yes,True,0.9995,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.9,
test_0038,hearsay,Yes,Yes,True,0.99925,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.8833333333333333,
test_0039,hearsay,Yes,UNCERTAIN,False,0.5299999999999999,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,4,4,4,0.8,
test_0040,hearsay,Yes,Yes,True,0.99975,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.9166666666666666,
test_0041,hearsay,Yes,Yes,True,0.9995,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.9,
test_0042,hearsay,Yes,Yes,True,0.9235,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.825,
test_0043,hearsay,Yes,Yes,True,0.9999999937499999,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,7,4,4,0.925,
test_0044,hearsay,Yes,Yes,True,0.999999984375,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,3,1,5,3,3,0.9333333333333332,
test_0045,hearsay,Yes,Yes,True,0.99925,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.8833333333333333,
test_0046,hearsay,Yes,Yes,True,0.7497,False,Is the statement described in this narrative hearsay under FRE 801(c)?,5,5,0,5,5,5,0.75,
test_0047,hearsay,No,UNCERTAIN,True,0.49500000000000494,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,6,4,4,0.875,
test_0048,hearsay,Yes,Yes,True,0.9984999999999999,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.85,
test_0049,hearsay,Yes,Yes,True,0.5749988749999999,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,6,4,4,0.875,
test_0050,hearsay,Yes,Yes,True,0.64999325,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,6,4,4,0.8125,
test_0051,hearsay,Yes,Yes,True,0.9998750000000001,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.9333333333333332,
test_0052,hearsay,Yes,No,False,0.09328293124999992,False,Is the statement described in this narrative hearsay under FRE 801(c)?,5,5,0,9,5,5,0.8300000000000001,
test_0053,hearsay,No,UNCERTAIN,True,0.49399999999999994,True,Is the statement described in this narrative hearsay under FRE 801(c)?,5,5,0,5,5,5,0.86,
test_0054,hearsay,Yes,Yes,True,0.57391875,False,Is the statement described in this narrative hearsay under FRE 801(c)?,5,4,1,5,4,4,0.9125,
test_0055,hearsay,Yes,UNCERTAIN,False,0.524946546875,True,Is the statement described in this narrative hearsay under FRE 801(c)?,5,4,1,7,4,4,0.9375,
test_0056,hearsay,Yes,Yes,True,0.99975,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.9166666666666666,
test_0057,hearsay,Yes,Yes,True,0.6498750000000001,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,4,4,4,0.875,
test_0058,hearsay,Yes,Yes,True,0.999625,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.9,
test_0059,hearsay,Yes,Yes,True,0.99925,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.8833333333333333,
test_0060,hearsay,Yes,Yes,True,0.995,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,2,1,2,2,2,0.9,
test_0061,hearsay,Yes,Yes,True,0.5988749999999999,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,4,4,4,0.85,
test_0062,hearsay,Yes,Yes,True,0.9999999997468749,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,7,4,4,0.875,
test_0063,hearsay,Yes,Yes,True,0.99975,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.9166666666666666,
test_0064,hearsay,Yes,No,False,0.355,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,4,3,3,0.75,
test_0065,hearsay,Yes,Yes,True,0.998875,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.8666666666666667,
test_0066,hearsay,Yes,Yes,True,0.99994375,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,4,4,4,0.8875,
test_0067,hearsay,Yes,Yes,True,0.9999843749999999,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,4,4,4,0.8999999999999999,
test_0068,hearsay,Yes,No,False,2.8125000000045475e-06,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,5,3,3,0.8333333333333334,
test_0069,hearsay,Yes,UNCERTAIN,False,0.45612499999999995,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.7875,
test_0070,hearsay,Yes,Yes,True,0.6441875,False,Is the statement described in this narrative hearsay under FRE 801(c)?,5,4,1,5,4,4,0.8,
test_0071,hearsay,Yes,UNCERTAIN,False,0.52425,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,4,4,4,0.9,
test_0072,hearsay,No,Yes,False,0.675,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.7166666666666667,
test_0073,hearsay,Yes,Yes,True,0.9997750000000001,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,4,4,4,0.8375,
test_0074,hearsay,No,No,True,0.0015000000000000013,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.85,
test_0075,hearsay,Yes,UNCERTAIN,False,0.49549999999999994,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.85,
test_0076,hearsay,No,Yes,False,0.5700000000000001,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.8833333333333333,
test_0077,hearsay,No,Yes,False,0.6739999999999999,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,4,4,4,0.8125,
test_0078,hearsay,No,Yes,False,0.9997,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,4,3,3,0.7833333333333333,
test_0079,hearsay,No,Yes,False,0.99925,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.8833333333333333,
test_0080,hearsay,No,UNCERTAIN,True,0.4966875,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.875,
test_0081,hearsay,No,No,True,0.35074999999999995,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,3,1,4,3,3,0.8166666666666668,
test_0082,hearsay,No,UNCERTAIN,True,0.5125000000000001,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,4,4,4,0.875,
test_0083,hearsay,No,UNCERTAIN,True,0.4951875,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.9,
test_0084,hearsay,Yes,UNCERTAIN,False,0.5,True,Is the statement described in this narrative hearsay under FRE 801(c)?,0,0,0,0,0,0,0.0,Request timed out.
test_0085,hearsay,No,Yes,False,0.94675,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.8375,
test_0086,hearsay,No,UNCERTAIN,True,0.49725,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.8625,
test_0087,hearsay,No,UNCERTAIN,True,0.486125,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.85,
test_0088,hearsay,No,UNCERTAIN,True,0.4895,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.8625,
test_0089,hearsay,No,No,True,0.25015,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.7625,
test_0090,hearsay,No,No,True,0.0037499999999999756,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,3,1,3,3,3,0.7999999999999999,
test_0091,hearsay,No,UNCERTAIN,True,0.495125,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.9125,
test_0092,hearsay,No,UNCERTAIN,True,0.4926249999999999,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.9,
test_0093,hearsay,Yes,Yes,True,0.699999925,False,Is the statement described in this narrative hearsay under FRE 801(c)?,5,5,0,7,5,5,0.8099999999999999,
