case_id,domain,gold_label,decision,is_correct,sigma_phi,is_uncertain,claim_text,n_raw_arguments,n_kept_arguments,n_neutral_arguments,n_relations,n_phi_edges,n_strengths,mean_tau,parse_error
test_0043,contract_nli,No,No,True,0.006000000000000005,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,2,2,3,2,2,0.75,
test_0044,contract_nli,No,No,True,0.350004,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.825,
test_0045,contract_nli,No,No,True,0.0001875000000000071,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.85,
test_0046,contract_nli,No,No,True,0.0022499999999999742,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",3,3,0,3,3,3,0.8333333333333334,
test_0047,contract_nli,No,No,True,1.1249999999907168e-06,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",3,3,0,5,3,3,0.8833333333333333,
test_0048,contract_nli,No,No,True,6.250000000873612e-08,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",5,3,2,5,3,3,0.9333333333333332,
test_0049,contract_nli,No,No,True,0.0015000000000000013,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",3,3,0,3,3,3,0.85,
test_0050,contract_nli,No,No,True,7.499999999993623e-06,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",5,4,1,6,4,4,0.825,
test_0051,contract_nli,No,No,True,9.375000000000355e-05,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,5,4,4,0.825,
test_0052,contract_nli,No,No,True,2.250000000203478e-07,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",5,4,1,7,4,4,0.875,
test_0053,contract_nli,No,No,True,0.0037499999999999756,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,3,1,3,3,3,0.7999999999999999,
test_0054,contract_nli,No,No,True,0.0030000000000000027,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,2,2,3,2,2,0.825,
test_0055,contract_nli,No,No,True,0.300003,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",5,4,1,6,4,4,0.7875,
test_0056,contract_nli,No,No,True,0.255,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",3,3,0,4,3,3,0.6833333333333332,
test_0057,contract_nli,No,No,True,0.00014999999999998348,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,5,4,4,0.7875,
test_0058,contract_nli,No,No,True,0.0025000000000000022,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,2,2,2,2,2,0.925,
test_0059,contract_nli,No,No,True,0.0037499999999999756,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",3,3,0,3,3,3,0.7999999999999999,
test_0060,contract_nli,No,No,True,0.0022499999999999742,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",3,3,0,3,3,3,0.8333333333333334,
test_0061,contract_nli,No,No,True,0.0018750000000000155,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",3,3,0,3,3,3,0.8333333333333334,
test_0062,contract_nli,No,Yes,False,0.56625,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.7125,
test_0063,contract_nli,No,No,True,0.0011249999999999871,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.775,
test_0064,contract_nli,No,No,True,0.0011249999999999871,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.775,
test_0065,contract_nli,No,No,True,0.0037499999999999756,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",3,3,0,3,3,3,0.7999999999999999,
test_0066,contract_nli,No,No,True,0.00022499999999997522,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.85,
test_0067,contract_nli,No,No,True,0.0007499999999999729,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",3,3,0,3,3,3,0.8833333333333333,
test_0068,contract_nli,No,No,True,6.749999999999812e-06,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,3,1,5,3,3,0.85,
test_0069,contract_nli,No,No,True,3.1249999976612486e-08,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,3,1,5,3,3,0.9333333333333332,
test_0070,contract_nli,No,No,True,0.0011249999999999871,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.775,
test_0071,contract_nli,No,No,True,1.6875000000027285e-05,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,3,1,5,3,3,0.8666666666666667,
test_0072,contract_nli,No,No,True,5.624999999997993e-05,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.775,
test_0073,contract_nli,No,No,True,3.1249999810079032e-09,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.925,
test_0074,contract_nli,No,No,True,2.1093750002254552e-07,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,3,1,5,3,3,0.9166666666666666,
test_0075,contract_nli,No,No,True,2.249999999998087e-05,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",5,5,0,5,5,5,0.86,
test_0076,contract_nli,No,No,True,0.00012499999999998623,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,3,1,3,3,3,0.9333333333333332,
test_0077,contract_nli,No,UNCERTAIN,True,0.5,True,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",0,0,0,0,0,0,0.0,Request timed out.
test_0078,contract_nli,No,No,True,1.6875000000138307e-06,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",3,3,0,5,3,3,0.8666666666666667,
test_0079,contract_nli,No,No,True,0.00011250000000001537,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.875,
test_0080,contract_nli,No,No,True,0.0003750000000000142,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.825,
test_0081,contract_nli,No,No,True,0.0037499999999999756,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,3,1,3,3,3,0.7999999999999999,
